IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.26.26,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,23981 kB/s
47.238.0.114,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,21189 kB/s
47.76.29.115,2087,true,HKG,Asia Pacific,Hong Kong,73 ms,20894 kB/s
47.76.189.102,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,18935 kB/s
47.76.29.115,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,18841 kB/s
211.72.156.10,23555,true,KHH,Asia Pacific,Kaohsiung City,84 ms,18552 kB/s
47.238.0.114,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,18501 kB/s
43.154.96.33,443,true,HKG,Asia Pacific,Hong Kong,77 ms,18383 kB/s
47.238.0.114,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,18338 kB/s
47.76.225.255,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,17451 kB/s
20.243.122.134,443,true,NRT,Asia Pacific,Tokyo,86 ms,17169 kB/s
45.78.57.229,23566,true,KIX,Asia Pacific,Osaka,105 ms,17070 kB/s
47.238.0.114,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,16522 kB/s
43.129.171.137,443,true,HKG,Asia Pacific,Hong Kong,69 ms,16260 kB/s
211.75.223.83,23555,true,KHH,Asia Pacific,Kaohsiung City,89 ms,15176 kB/s
34.81.172.46,823,true,TPE,Asia Pacific,Taipei,72 ms,14833 kB/s
101.42.10.90,443,true,HKG,Asia Pacific,Hong Kong,79 ms,14651 kB/s
101.42.29.143,443,true,HKG,Asia Pacific,Hong Kong,79 ms,14559 kB/s
140.143.217.136,443,true,HKG,Asia Pacific,Hong Kong,80 ms,13529 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,83 ms,13170 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,91 ms,13009 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,12650 kB/s
47.238.35.50,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,12392 kB/s
35.229.179.98,25775,true,HKG,Asia Pacific,Hong Kong,87 ms,12346 kB/s
47.57.14.238,4328,true,HKG,Asia Pacific,Hong Kong,67 ms,12129 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,11483 kB/s
47.238.35.50,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,11341 kB/s
43.153.103.203,443,true,SJC,North America,San Jose,159 ms,10853 kB/s
38.147.188.86,8003,true,KUL,Asia Pacific,Kuala Lumpur,66 ms,10837 kB/s
47.238.35.50,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,10820 kB/s
47.76.225.255,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,10444 kB/s
185.148.13.32,10005,true,SJC,North America,San Jose,161 ms,9905 kB/s
37.123.193.49,18008,true,SJC,North America,San Jose,178 ms,9674 kB/s
